st_racuna,artikli
169816,2 34 36 74 593 598 619 186 294 1351 440 458 7651 2032
169916,2 16 36 590 619 1766 824 852 395 421
170106,2 3098 446 452 619 4204
170869,2 16 1042 53 57 1081 5696 598 604 619 115 7421 256 824 385 2438 421 440 441
171367,2 2066 34 41 1206 195 1220 271 1351 370 440
171423,2 534 34 1064 8767 186 1235 271 1351 879 395 3554
171967,2 34 41 1081 74 613 619 115 3732 3789 719 247 271 294 1409 440 446 458 4065
172422,3331 3360 11607 440 446 7651
172530,2 1042 1064 46 53 1081 10333 107 115 5273 256 271 294 824 1351 1357 385 395 441 446 1994
172831,2 4669 598 4696 1730 247 271 294 1351 421
173943,2 34 2599 41 46 2101 72 598 5735 619 115 1140 3358 3360 3364 294 824 2364 390 485
174067,1 2 534 34 1064 4166 590 980
174282,1 2 16 534 1064 1081 57 60 590 619 1140 5768 5314 271 272 3358 3360 3364 2443 395 420 421 2472 440 441 2032
176211,2 2066 53 2780 12523 294 822 1351 440 441
176275,2 10139 14877 925 36 9523 440 57 9788 7868 72 12105 1260 10223
177282,2 1 2066 41 57 2113 74 598 617 619 115 1211 271 824 2364 11177 440 446
177536,2 2438 908 271 1064 53 824 1081 4419 4956 115 247
178415,16 2066 534 2101 11874 5735 115 1140 5259 186 3358 3360 3364 2443 2472 441
178562,2 53 57 590 6388 256 421 1987 465 980
178596,2 16 3098 53 60 590 604 619 115 1140 271 9005 824 5949 370 421 440
179475,1 2 16 1042 34 41 60 74 590 115 271 824 395 421 980 511
179839,2 16 23 34 41 46 2098 57 74 4229 4269 186 271 395 420 440 441 446 598 619 719 852 908 980 1208 5497 7900 1766
180093,2 16 3788 824 385
180676,2 2066 1081 74 7421 256 824 385 440
181356,2 16 34 41 2098 1081 619 115 2205 256 271 3360 3364 4398 824 440 2008
181936,16 619
182168,2 534 6723 74 619 2233 2237 824 1351 2387 8048 440 1994 488
184931,534 619 5289 824 1351 370 395 440 446
185130,2 5640 16 34 46 57 9273 4696 619 7326 2205 1208 1214 1220 271 1351 1357 2424 446 5577 488
185157,2 824 440 115
186046,2 22 34 46 53 57 60 115 186 2237 247 256 271 294 385 395 6574 440 446 458 4581 488 534 598 619 9005 824 879 11136 908 963 980 5094 1064 1081 5273 7326 1206 1357 1723 1766
186354,2 16 36 53 57 107 115 4229 1730 195 7900 1766 247 2364 1351 2391 440 446 1987 458
186728,2 16 534 34 1064 46 74 598 271 824 1358 395 421
186753,2 8275 107 5259 7311 1242 6388 1351 370 440 441 3543 2520
186797,1 2 16 534 1042 34 41 1064 53 1599 74 590 115 186 6388 824 2364 879 1409 395 440 9680 1502
186862,1042 60 4694 619 115 824 1358 2387 9634 2989 440 446
189471,2 271 16 440 60 446 1357 115
189730,824 1220 1357 1766 370
190677,2 16 60 74 186 195 247 271 294 395 440 446 458 619 5072 7171 1351 1766 8180
191135,1 2 16 46 53 57 4703 186 1220 1766 294 824 370 385 395 963
192195,2 5640 2066 1042 53 1206 1766 4477 395 2032
194011,2 16 3098 440 57 1766 370 247
194923,2 16 2066 3098 2081 51 53 590 613 107 619 2182 195 1260 272 294 9005 4403 1357 852 12656 370 446 2032
195899,2 16 57 60 1599 2260 7394 256 271 3870 822 370 395 3488 440 441 446
196072,1 2 74 619 115 1723 1730 719 271 4403 1351 2391 3520 2032
196418,2 34 41 2098 57 60 4160 115 163 186 221 242 247 256 271 288 294 4403 10654 421 440 446 488 511 530 534 547 590 598 4700 6774 2734 824 908 15264 963 1042 1064 1081 1101 1116 1220 1235 1237 5337 1351 1357 3520 3538 1502 1580 1622 1802 6072 1991 12264
197303,2 34 107 256 294 300 440 1987 2032
198338,2 16 2066 53 74 271 4398 2387 421 440 446 448 534 598 617 824 980 1042 1064 1140 1208 1211 3358 3360 1351 1502 7651 2032
198868,2 16 530 34 36 41 53 590 593 6315 186 256 271 3358 3360 421 2032
199059,1 2 530 1042 34 2098 589 590 593 115 1140 10393 271 9005 908 395
199796,2 440 3903
200632,2 16 2066 34 36 46 57 60 4156 186 2260 247 256 271 2340 294 4398 2368 385 420 421 440 441 446 511 590 617 8885 2780 1042 1081 3180 1185 5289 1206 3360 1351 1355 1358 1364 1439 1502 1599 9859
200826,2 36 53 598 5259 195 247 1351 852 370 1409
202647,2 16 46 53 60 593 4696 613 617 115 4229 1220 2780 271 824 1351 395 441
203573,2 16 1042 534 7248 593 617 619 115 2780 247 824 2387 395 446
204032,2 2066 1064 46 53 57 590 16 619 115 1042 1206 256 271 294 824 1351 395 9142 440 441
204416,1 2 1064 440 57 441 1599 604
205342,2 16 23 53 1599 590 598 619 186 1730 1766 247 6908 256 4885 294 1351 8015 1364 13653 1373 1409 15234 421 441 458 980 3543 12264
206602,2 1042 2585 3098 34 1064 41 3629 53 57 167 1206 2235 195 247 294 1357 10218 2032
206885,2 16 534 34 36 41 1064 46 2098 53 60 1599 619 115 11386 163 1206 186 2235 1730 242 6388 256 294 9543 8048 440
207241,2 16 2066 4650 1081 74 115 3789 3872 294 824 2364 395 421 441
207251,53 74 619 195 1220 2391 1502
207286,2 16 1042 534 46 598 619 115 256 271 2340 294 3903 1351 421 5582 1502
207657,2 534 53 57 590 9005 421 441 980
207972,1 2 1042 57 590 195 271 1351 395 440 441 980
208023,1 2 16 1042 34 57 60 598 115 9859 5768 5779 1351 3394 186 4322 271 294 3903 421 441 980
208161,2 534 46 53 57 74 590 3696 115 1206 6850 7421 256 271 3358 3360 294 824 370 5497 1409 395 412 4004 440 1502
209655,1 2 16 530 1042 534 57 1081 74 619 115 271 294 824 908 440 441
209943,2 1042 34 41 53 57 74 115 7305 1766 247 256 271 1822 294 824 2364 5452 4434 4461 7043 908 1987
210134,534 34 1064 41 1081 5696 167 247 256 294 852 5497 395 440 446
211125,1 2 16 2066 34 41 53 60 74 115 440 441 458 488 4648 590 619 8884 824 980 1042 7651 1766
211440,1 2 16 34 36 53 57 60 72 74 115 186 294 395 440 511 590 619 824 908 1655
212439,1 2 16 34 41 53 74 10418 186 195 271 294 2391 6558 420 421 440 441 446 488 10759 6725 590 598 824 852 11177 2987 963 1042 1220 1351 3520 3619 13910 3903 6020
213138,2 16 2066 8237 53 57 3789 271 1351 2424 395 421 440 963
213183,2 16 1042 34 619 824 440 446
213531,2 34 60 8272 598 2248 256 294 1357 440 446
215521,2 1042 74 590 619 5273 2237 1220 4329 271 1351 385 395 421 441 1502
215943,1 2 16 1042 34 41 53 60 1599 7248 619 115 186 247 271 1822 294 1351 3406 852 2391 7551 395 908 420 421 980 5590
216502,2 5640 1042 34 41 60 590 1622 604 619 115 1140 4761 10393 256 294 834 1351 2443 421
216551,2 1042 57 2630 271 824 370 440 441 446
216973,16 1042 4668 598 2235 1220 247 256 824 2424 446 963 488
217667,2 53 593 613 115 653 1206 1220 294 2364 370 908 16272 440 511
217760,2 1 16 23 34 41 46 2098 53 57 60 74 115 4271 186 2237 4329 247 6388 2387 2443 395 2472 441 446 448 619 2780 852 7058 9133 980 1042 1140 1206 1208 1351 11615 3903
217932,1 1409 3098 34 1206 824 1081 74 1358 115
218875,2 34 41 115 4229 2235 2364 395 446 448 465 534 598 619 824 1042 1220 1351 7651 7900
219347,2 16 23 53 60 590 593 598 107 619 7900 256 3903 1357 1358 908 421 10666 980 2032
219776,2 1042 16 534 1064 590 115 1214 1766 1351 2975 963
220397,2 16 2066 534 34 41 53 1081 60 1599 11847 74 589 1140 1206 1357 1358 6020 440
221167,2 34 41 46 53 1081 598 619 115 719 6883 3360 4398 2364 9030 3406 440 458
221239,1 2 16 1042 53 74 590 598 619 195 271 824 385 395 1439 421 440 2032
221406,2 16 534 34 36 1064 1081 115 2166 163 167 294 824 370 420 421 2032
221569,2 1042 23 3098 46 74 619 1206 247 272 271 7985 824 1358 8048 370 420 421 11179 440 446 452
222637,2 1042 34 46 53 590 593 1140 6850 3358 3360 294 4398 3425 421 440 1502 4581
222875,2 41 60 115 4229 10396 186 370 395 421 440 441 448 619 824 908 1042 13378 16304
223860,2 23 46 53 74 12499 271 2443 395 420 440 446 465 534 557 593 604 613 619 11027 15360 1064 7248 1140 1142 1208 1220 1351 1358 1364 1373 7651 1599 1766 2008
224211,2 16 53 57 74 604 617 619 3696 115 1675 271 3358 3360 824 3903 2386 395 421 440 446 1502 488
224566,2 1 5640 16 1042 534 1064 46 57 2233 1730 1235 247 256 271 275 294 2386 908 6558 421 440 5562 446 2032 511
225044,2 41 74 590 619 107 3788 9433 8937 2424 8066 440
225652,2 16 46 57 186 195 10488 271 395 440 446 980 1042 1220 5447 1351 1599
225877,385 534 294 441 2237 1220 1502 247
226273,2 16 534 23 34 36 1064 41 1081 57 60 5696 590 3162 7259 613 115 1042 186 5314 195 1766 2298 256 1802 294 8504 2438 908 440 441
226930,1 16 34 36 41 2098 2101 53 74 115 6315 247 256 294 395 421 440 441 534 6723 590 598 619 824 908 1042 1064 1140 5273 7421 1351 1357 1766
228583,2066 534 5657 46 74 604 115 275 824 11123 395 440 446
228679,2 16 34 36 41 2113 2166 2248 247 256 294 10573 2463 421 440 441 446 8741 598 604 8963 824 7171 1042 11386 5447 9818
229176,2 16 1042 1064 57 619 11951 2233 2237 256 272 294 824 4419 1409 395 1439 440 446 5590 4065
229593,2 16 1081 4154 60 590 619 186 242 294 4403 7533 8048 3979 421 13236 440 980
230024,2 16 2066 46 2098 57 60 115 10364 2235 2340 2364 390 395 420 421 440 441 534 590 598 613 653 824 9122 7551 11697 3732
230469,2 16 8237 3678 115 2205 186 1730 9436 247 294 1502
230875,2 16 46 57 74 619 115 441 1218 824 385 4515 421 440 446 458
230955,2 16 34 1064 41 53 74 613 107 619 2235 186 256 294 824 1358 6017 1409 421 422 511
231394,1 2 46 1081 74 619 107 6850 719 247 256 271 294 385 440
231588,2 16 2066 1042 598 613 115 247 824 1987
233610,2 5640 16 1042 57 115 5289 186 195 7421 6908 256 1351 370 385 440 441
233666,2 16 2098 60 619 1042 2066 256 294 1351 395 590 448 511
235004,2 271 34
235678,2 530 2066 16 34 46 57 1599 598 115 186 271 1351 908 421 4065
236693,2 534 34 1064 41 3629 1101 593 598 11874 619 115 1140 5289 186 5337 256 294 2364 824 1351 2424 2443 2472 440 446 2032
236738,2 1042 53 57 60 604 619 115 1140 10396 247 256 271 11027 294 824 2391 908 440 446 448 1502 7651
237560,2 598 619 1140 1208 1351 908 10662 440 446
238189,256 2 2066 294 440 57 446 195 74 7421
238522,1 16 534 593 2674 115 5289 1220
239536,16 530 294 53 440 186 441 619
239614,1 2 16 1042 36 1064 53 57 60 13892 115 5273 5858 294 7985 908 407 441 446
239649,2 74 593 619 167 719 1237 247 271 294 1357 1358 908 420
240297,2 16 2066 34 41 60 74 4761 1220 256 294 1987
242182,2 530 16 1042 34 57 60 590 598 604 617 619 115 167 4269 186 1220 256 2340 294 852 440 446 2032 511
242320,2 16 1064 41 46 2098 1081 598 619 115 1220 2780 256 440 446 5072 980
242455,2 1 534 3098 1064 9772 57 4668 60 16 1140 6774 167 5314 1237 5337 1242 9435 247 1276 256 271 294 1351 1357 370 1409 9106 2472 440 446 963 8652 488
242666,1 2 3732 57 452 4434 488
242761,2 46 57 3696 1206 195 3358 3360 10654 1994
243539,2 16 1042 57 60 619 195 719 1766 271 440
244615,2 16 74 115 247 256 294 395 421 440 441 590 598 4696 619 4761 3098 1351 1357 1409 3543 1766 6020
244864,2 16 34 46 2098 60 2113 115 186 2235 247 395 2443 2472 440 441 446 593 598 619 908 980 1042 1140 5273 9441 3358 3360 3364 1351 1623 1730 7900 1987
245626,2 1042 534 1064 8752 1081 60 1599 2235 247 256 271 294 5497 9600 1409 395 421 488
246351,1 2 16 34 36 46 53 60 74 186 256 294 395 421 440 441 446 448 534 564 593 604 617 619 2883 11178 980 1064 7328 3619 3979
246374,2 46 57 74 115 636 681 7421 256 271 294 4403 824 385 1409 395 5013 4004
246438,2 5259 16 34 41 440 441 186 60 446 963 1220 3788 370
246501,2 16 2066 36 60 74 2166 247 256 294 395 420 441 448 534 4702 619 7091 1042 3098 1220 1357 5949 8066
248960,2 1042 16 36 593 2235 440 980 9695
250115,1 2 16 34 46 57 60 74 115 167 186 195 4329 247 256 271 294 440 446 530 534 10815 619 824 908 1064 7421 1357 1439 1502 1766
250347,2 16 41 46 2101 53 57 60 74 115 4229 247 256 271 294 2443 440 446 448 468 2523 480 534 604 619 681 2780 801 824 908 9198 1064 1140 1206 1220 9543 1357 5640 3789 7900 1994
250532,1 2 16 23 16428 564 57 60 74 590 593 5289 186 8389 294 824 6017 395 440 441 446
250834,2 1042 3903 2387 421 446
250855,2 395 824 1766 619 115
252051,1 2 16 534 34 1064 46 53 57 619 41 271 440 446 5577 488
252350,2 1 8220 1081 60 9818 1140 1206 186 1220 247 256 294 1357 14715 3979 11725 980
253003,2 16 34 46 57 60 74 115 6392 294 395 441 446 10720 564 1766
254896,2 2066 34 53 107 115 2194 256 294 440 441 446 598 619 1042 1064 1140 1351 1655
255650,2 1042 2066 41 57 74 590 619 115 1220 719 824 1439 420 421 440 446
256505,2 16 1042 34 57 1599 604 619 271 2867 395 9122 420 421 440 441 446 452 980
256900,16 2580 34 115 294 4434 4976 370 4477 440 441 446 4065
257004,256 1160 1064 440 824 74 7421 1502 115 5497
257365,2 46 57 74 78 619 115 6774 195 1766 7421 1278 256 2306 271 12050 1351 852 421 440 9153 2032
257699,2 2585 34 41 1081 60 74 598 2166 1766 256 294 1358 370 420 440 446
258837,2 2066 1042 34 46 60 598 604 619 1220 1351 440
259082,2 16 534 3098 34 4650 53 57 60 598 3678 619 115 1206 186 1730 1220 15047 14558 247 256 271 3358 3360 2338 3364 294 1351 1358 8529 852 4956 370 1409 908 421 441 446 980 1502 511
259630,2 34 41 46 60 2237 195 271 395 440 446 564 2612 590 619 824 1042 3098 5329 1351 7951
259653,1 2 2066 534 34 53 57 60 619 186 271 294 1357 1439 440 446
261511,2 16 8220 46 57 186 195 247 256 272 294 385 440 446 534 598 6774 4751 2780 1042 1064 1235 5337 15651 7519 13892
262425,2 34 57 604 186 3788 247 256 2424 6017 421 440 441
262645,1 2 1042 34 36 41 57 619 3224 195 3360 294 4398 2867 395 440 441 446 980
262675,2 1042 3619 41 46 57 590 619 115 2237 195 1220 719 294 1357 440 441
263001,1 2 272 4403 440 2391 115
263102,2 16 23 1042 53 619 2182 1206 186 271 300 852 3956 385 4515 420 421 1987 2032
263257,908 41 852 598 115
264457,1 2 16 34 41 74 589 590 1623 619 115 2235 256 2340 9005 824 1351 377 395 1439 3490 980
265440,2 16 530 2066 34 41 5694 74 4229 186 1253 824 1351 395 6559
265865,2 16 14379 53 60 74 2235 271 2340 420 421 440 446 534 598 619 15124 11136 1064 1140 7317 1358 1623 1766 3846 6029 16320
269081,2 16 46 57 60 107 115 186 242 247 6392 256 6406 395 440 441 446 2585 593 598 4696 619 852 908 963 980 1502 1766 8048
269385,2 16 564 53 9321 115 824 2364 2424 1409 395 440 441 4065 12257
269452,1 2 57 74 593 619 1140 10418 186 195 1766 271 294 2364 370 2424 908 6558 441
270123,2 16 3098 2612 53 57 74 619 4204 115 5273 1242 7421 256 6908 271 824 5949 1351 1357 2391 1390 370 395 7091 440 446 452
270623,2 16 530 41 46 2101 60 604 619 115 1140 7317 9005 1351 395 908 980
271030,53 440 1101 852 598 9441
271949,2 60 115 271 14660 5452 2387 980
273246,2 16 1042 46 57 1599 115 2249 824 441
273336,2 2237 446 4419 247
273678,2 2205 1206 440
273982,2 10762 534 34 41 53 590 598 1185 440 1208 294 300 824 2364 9061 7018 879 441 5577 3554
274224,2 46 564 53 57 598 271 272 3360 4398 9523 2364 1502
274336,2 16 34 41 57 60 74 107 115 2235 256 294 395 412 440 441 446 590 598 2791 824 11095 908 7171 1042 9272 5315 11479 1351 7774 3700 5767
274883,2 1042 2102 60 619 115 1204 3788 256 1409 3520
276471,1 2 16 41 46 57 72 74 107 115 2205 2211 2260 4329 247 256 271 294 370 385 395 421 440 441 446 511 619 824 852 908 1042 1064 1081 5289 1206 1351 1373 1439 6017 8066 6072 1987
276636,1 2 16 2066 1042 34 57 4669 74 619 1140 1208 824 5447 1358 441 1502 2032
277309,2 534 34 36 53 619 115 385 440
278473,2 34 1064 60 6388 247 824 395 908 440
278812,2 16 107 247 256 294 421 440 441 446 593 598 604 619 9005 1042 1064 9433
279001,11265 2 34 1599 598 186 2235 195 879 395 421 440 441 980
279860,2 53 60 74 590 604 619 115 195 256 824 3903 1351 2391 879 5497 421 440 441 446 2520 511
280215,2 16 34 41 46 57 60 4166 74 115 186 195 256 271 294 2364 385 395 10654 440 441 446 2520 8689 590 598 617 619 2780 824 7058 15269 1042 1081 15436 5314 9543 1351 1502 5640 5657 1601 1802 8048
280563,2 16 46 57 60 4166 74 186 256 395 534 6750 619 2780 2989 5072 980 1042 1206 1220 1351 11670 7900
280668,2 6157 53 2102 74 115 4229 4271 10418 247 395 421 440 441 448 589 598 619 824 908 1042 11409 1220 1599 1601 5732 7900 16114
280744,2 16 2066 1042 4650 46 53 57 10815 74 5707 5273 247 256 294 1351 14221 421 440 446
280836,2 11540 34 421 1064 1730 619 370
281244,1 2 534 3619 36 1064 41 57 1081 4166 16 590 619 2233 186 1214 1730 1766 247 256 271 824 847 395 908 420 440 446 488
281597,256 2 395 824 57 1351 74 619 247
282250,2 511 16 2066 1042 619 163 247 294 2424 395 421
283180,2 16 534 53 60 4160 74 593 619 115 1220 256 3360 824 1351 7498 1357 7515 370 9106 421 440 2008 1502 5088 2032
284166,2 16 3098 14877 53 57 74 619 5273 15001 10418 1206 186 1730 1220 247 256 271 272 294 824 1351 1357 5497 395 1502
285285,2 16 34 115 167 370 395 421 440 446 458 465 593 12928 12956 824 852 908 1042 1064 11332 1206 1357
286584,2 16 1042 534 34 564 598 604 619 1208 824 908 395 420 421 441 5107
286728,2 16 46 2098 57 4154 74 115 2237 271 275 294 395 6559 421 440 446 448 8670 8738 598 619 980 1042 3098 3157 9749 3629 4065
287343,2 1 46 57 74 598 619 2780 247 271 294 824 1351 440 446 1502 2032
287378,1 2 16 1042 34 46 57 74 593 598 619 115 167 186 1730 2780 271 1409 421 2989 441 4065
288406,1 2 57 847
289267,2 16 3098 41 2603 46 4166 74 589 590 598 9818 619 1132 2689 5289 719 4322 247 256 824 4933 9543 12130 370 385 1410 8066 1439 440 441 446 963
289561,2 1042 41 74 3678 719 7394 256 1357 4434 446 2040
289958,2 16 57 1081 598 619 247 271 294 5452 8066 440 446 963 8652 1502 2032
290233,1042 534 1064 53 115 294 824 5949 7091
290356,1300 2205 1599 74 3678 7538 115
291180,46 57
291831,2 46 53 57 74 195 247 271 2364 421 440 441 446 458 564 619 908 1042 1502 1730 6020
292286,46 10333
292994,294 440 598 10335 247
293928,1 2 16 1042 534 2098 8275 619 115 195 1220 6384 271 2340 294 1351 12656 395 441
294128,2 16 1042 22 3098 34 53 590 593 3157 619 5273 2205 7868 271 275 824 1351 1357 421 441 980 1502
294981,2 271 1042 3098 421 41 824 8504 186 4669 74 619 370 115
295685,11265 2 2066 534 16 3098 34 1064 46 564 53 60 589 590 598 115 10393 1214 1730 256 271 300 1364 8537 908 395 420 421 465 8703
296331,2 16 1042 534 34 41 60 4166 72 593 5259 2224 1253 2791 256 6406 271 294 8066 8082 407 468 2008
296643,2 16 34 41 46 53 2101 57 74 115 163 186 6376 6388 247 10488 256 271 294 300 4398 395 420 440 446 564 619 6850 719 823 852 879 908 980 1064 1081 3157 1140 13458 5289 1220 9436 3358 3360 3364 1351 1357 5497 1402 11697 7665 5640 1599 1605 5735 1766 6017 1975 1987
297073,534 3098 421 824 590 11727 107 370 2298 11135
297519,2 16 34 41 57 74 619 186 5909 5958 1351 908 7091 440
298177,2 16 1042 41 4669 6717 619 271 272 824 446 2032
298504,2 1042 34 41 74 590 1622 619 1730 2364 1351 395 421
298983,2424
299146,2 16 534 1599 74 598 1766 272 2391 5497 1409 458
299273,1 2 16 53 57 60 593 91 115 1220 271 824 1357 2387 395 1439 440
302639,1 2 16 2066 534 23 5158 46 53 1081 74 590 619 115 1140 186 1220 1766 247 256 7423 271 824 1409 395 908 2443 421 2472 440 446 4065
302697,2 16 34 8738 41 53 247 256 6559 4004 13817
304876,16 41 53 1599 619 115 1766 247 256 3903 395 440 446
305476,272 16 275 421 11177 440 446 1358 11612 115
305562,2 6029 3987 3098 34 57 60 1987 598 604 619
305578,2066 534 440 446 598 9818
306147,1 2 5640 16 23 1081 74 604 619 115 5779 163 1206 1766 256 294 9005 1351 395 908 420 421 441
306906,2 2066 46 51 53 57 2105 74 115 195 256 272 294 4403 824 2391 2989 440 13817
307711,2 16 57 1081 4166 7248 617 6776 1206 186 1730 195 1220 3789 247 256 271 824 9543 1357 908 1439 421 440 458
308021,1 2 16 534 34 57 115 1206 271 1502
310055,1 2 16 46 57 60 74 619 7850 1206 852 440 1502
310684,1 2 16 3098 34 46 2098 53 57 590 4696 619 115 9851 5289 195 1779 14076 271 4403 824 1351 1357 2391 5497 9122 420 421 440 446 12249 1502
310814,2 421 294 53 1351 2387 619 2032 115 247
312186,2 16 46 53 57 115 186 247 256 271 294 385 421 440 446 458 504 511 598 824 879 908 1081 7551 3678 1730 4004 2032
312292,2 46 53 74 247 256 395 421 440 448 598 604 613 619 1042 1064 1351 1766
312349,1 2 34 41 1081 60 5696 590 824 2438 395 440 446
312379,2 16 2066 34 598 115 1042 256 271 294 13817 421 440 441 4065 2032
312758,2 16 564 598 619 115 1766 294 440 488
313207,2 2066 34 60 590 619 115 1730 824 1358 440 446 5577 458 3554 2032
313295,1 2 16 46 53 57 91 186 242 6388 271 421 446 593 598 619 908 980 3098 1351 1439 3538 1502 1723
314023,2 16 1042 534 1064 46 57 60 5696 619 5259 1220 1242 247 294 2364 1357 395 908 421 10674 440 488 2032
314128,2 16 534 46 1081 60 598 619 2205 8884 1220 3788 256 822 2364 13118 1357 1358 2391 2424 385 395 440 446 448
315451,2 46 57 5259 9433 247 256 271 824 1358 3406 2424 395 908 1439 440 446 1987
317978,2 2066 1042 3098 4669 590 598 619 2364 1357 421 422 441
318419,1 2 16 41 46 74 2235 256 271 2340 294 2391 421 422 440 441 446 448 534 589 590 604 619 9005 980 1042 1064 9273 1439 3700 1766 3872 4065
320935,2 34 60 107 115 2424 422 440 441 446 448 8752 619 824 1042 1214
321424,2 16 34 564 1081 57 4156 60 4166 74 598 115 1042 3732 2250 271 847 4434 1390 395 1439 421 440 441 446 963 1502 485
322124,34 41 74 115 271 440
324148,2 3733 23 53
325044,2 16 34 46 57 590 115 824 1351 908 421 440
325917,1 2 534 46 5259 247 7421 256 294 824 9543 8048 5497 908 440 458
327094,2 16 534 34 1064 46 74 1766 3360 3364 824
327934,2 16 1042 23 1064 1599 590 598 9818 619 2205 247 294 385 395 908 421 440 441 446 448 980
328100,2 16 3098 41 53 57 1081 60 1730 3788 2298 256 294 824 1357 370 440 446 963 458 5088
330079,2 395 294 1730 590 1242 115
331226,1 2 16 2066 34 53 57 74 107 115 16575 294 395 421 422 440 458 488 534 619 9005 824 963 1042 3098 11534 9543 1351 5577 1502 3629 1766 5949 8048 4026
331787,2 16 534 1064 14408 593 619 115 16015 2235 1220 395 440 2008
332232,2 1042 34 57 604 619 115 186 1214 247 256 294 824 395 908 421
332595,2 34 1064 57 60 115 186 824 8066 908 3987 440 446 2032
332797,2 16 2066 2098 1599 74 619 186 195 3360 4398 1351 879 5497 1409 908
333065,2 16 34 4166 107 115 10396 186 242 256 294 4398 2364 395 420 421 441 448 564 6723 598 619 15122 824 15203 980 1042 1081 7259 9321 3360 1351 1502 1599 1766
333547,2 16 2066 53 12344 57 115 2233 186 4329 242 247 256 271 294 370 395 421 446 534 619 852 1064 9273 1140 1206 1214 1351 3700 1766
333705,1 2 2066 46 53 60 10333 186 247 256 271 294 2364 395 440 446 458 534 564 4693 598 2710 11005 908 3219 1409 1439 11847 1723 3788 2032
334004,2 2066 16 1042 34 53 60 74 590 604 619 1140 271 824 2364 2443 421 1987 980
334374,2 16 34 41 46 74 115 186 2235 242 2364 385 421 440 446 534 6723 590 598 619 824 908 980 1042 1064 1220 1599 8066
335086,2 16 2066 46 53 57 4166 74 115 8352 186 247 256 271 294 370 440 441 619 2780 824 852 7043 1042 3098 5273 1206 1351 7498 1358 13653 3619 3853 1822 8048 8066 8129
335348,1 2 16 46 53 57 74 115 195 256 294 2364 370 395 6559 421 12721 440 441 598 604 619 824 980 1042 5158 1214 1242 7551 1599 3788 3789 1766
336444,1 2 16 2066 46 53 57 60 74 115 186 195 256 271 421 440 441 446 8652 534 590 598 619 824 1042 7305 1351 1439 13817 13966 9906 6072
336898,1 2 16 2066 534 1042 53 1081 74 619 7789 195 271 824 1358 852 385 421 440 448 980 488 2032
337184,1 2 16 534 3619 6196 9273 57 5707 1206 1214 271 824 5949 3406 852 370 422
338108,2 16 23 34 1064 46 53 590 107 619 1208 1220 271 294 1351 1358 1357 370 421 441 446 980
338291,2 16 2066 74 1206 195 7421 824 2032
338430,2 41 46 53 74 619 1730 256 271 1351 3406 440 2032
339925,2 390 1042 420 53 619
340250,2 1042 34 41 57 74 619 6846 1766 6388 271 824 852 420 421 446 2032
340582,1 6147 2 34 36 57 60 74 598 619 115 719 256 271 824 2364 1351 395 421 440 441 480
341044,2 16 2066 1042 534 1064 60 619 247 256 294 370 2443 908 440 446 2032
342752,34 41 60 719 6388 247 2364 879 16764 5582 980 485
342934,2 16 534 57 74 598 619 186 2233 271 2338 294 4403 824 2424 395 440 441 446
344723,2 16 5657 34 46 2612 564 57 619 5259 186 1766 824 2387 5497 385 395 7091 440 446
346107,1 2 16 2066 34 57 60 74 115 163 186 271 294 395 421 441 598 613 619 719 852 11179 1042 11332 1140 1623 1766 8180 12286
346308,2 16 2101 5735 619 1140 3358 3360 3364 294 4398 908
346568,2 16 534 34 1081 1599 1220 6392 294 5452 395 440 8652
347184,2 16 3098 3610 41 57 247 6908 256 271 3358 3360 3364 824 847 370 440 441 963 452 2515
347205,2 271 275 8752 440 57 598 1502 115
347317,1 2 1042 534 5147 619 4204 115 7311 1206 1730 195 271 824 1351 2431 421 2989 440 441 448 452
347525,1 2 16 53 598 824 2364 1351 420 421 440 441 446 1502
348053,2 9744 3098 34 5158 41 57 4160 74 598 619 115 1220 256 824 3903 1357 852 370 1409 385 6559 4515 440 446
348244,1 2 16 34 36 57 60 4669 74 593 598 619 629 2166 1214 2780 272 791 5405 3445 421 7091
348549,1 2 16 53 186 195 256 271 4434 2391 421 440 446 8652 468 485 590 619 8937 824 852 1042 1064 5168 1220 3298 1358 9772 7815 8066 1987
349142,1 2 16 34 41 57 60 74 2180 186 195 247 256 275 294 300 4403 2391 395 14768 440 446 534 622 824 4933 1064 1132 1186 7498 5497 1439 3610 1623 1704 1844
349625,1792 34 163 2424 294 6574 8751 2224 53 8752 1208 186 60 1220 590 1364 247 9061 619 115
349679,1 2 34 41 53 60 74 195 2252 256 294 395 421 440 446 534 598 599 613 619 824 908 1042 1225 1342 1351 1409 3578 3813 1766
351341,1 2 8 16 23 34 46 53 74 4216 2182 186 195 8389 271 2364 2391 395 420 421 441 446 557 4669 590 619 2810 824 852 908 980 1042 1225 3353 1351 7900 8092
351489,1 2 16 2066 34 53 12344 57 60 74 115 186 195 247 272 300 420 440 446 468 4648 557 564 619 879 908 9106 980 1042 1081 3157 3219 1206 11697 5577 1502 3554 11847 3716 1730 1792 2040
353248,2 16 46 57 74 2224 186 195 247 271 272 275 4403 2387 370 395 421 4640 598 619 824 908 7091 3098 1140 7326 1218 3358 3360 3364 3406 1358 1390 3554 5949 2032
353691,2 34 6195 53 1140 1208 1730 2248 275 1351
354616,2 1042 34 46 57 115 2424 395 448 465
